"filename", "language", "TypeScript", "JSON", "JSON with Comments", "CSS", "TypeScript JSX", "XML", "Markdown", "HTML", "comment", "blank", "total"
"f:\hobby-project\lara\Motomedic-Backend\frontend\src\store\slices\ServiceSlice.ts", "TypeScript", 23, 0, 0, 0, 0, 0, 0, 0, 0, 4, 27
"f:\hobby-project\lara\Motomedic-Backend\frontend\src\store\slices\colors.ts", "TypeScript", 154, 0, 0, 0, 0, 0, 0, 0, 0, 1, 155
"f:\hobby-project\lara\Motomedic-Backend\frontend\src\styles\global.css", "CSS", 0, 0, 0, 10, 0, 0, 0, 0, 0, 2, 12
"f:\hobby-project\lara\Motomedic-Backend\frontend\src\styles\theme.ts", "TypeScript", 198, 0, 0, 0, 0, 0, 0, 0, 11, 11, 220
"f:\hobby-project\lara\Motomedic-Backend\frontend\src\types\defaultTypes.d.ts", "TypeScript", 145, 0, 0, 0, 0, 0, 0, 0, 0, 11, 156
"f:\hobby-project\lara\Motomedic-Backend\frontend\src\types\env.d.ts", "TypeScript", 7, 0, 0, 0, 0, 0, 0, 0, 1, 3, 11
"f:\hobby-project\lara\Motomedic-Backend\frontend\src\types\themeType.d.ts", "TypeScript", 20, 0, 0, 0, 0, 0, 0, 0, 1, 1, 22
"f:\hobby-project\lara\Motomedic-Backend\frontend\src\utils\dataToFormdata.ts", "TypeScript", 43, 0, 0, 0, 0, 0, 0, 0, 3, 1, 47
"f:\hobby-project\lara\Motomedic-Backend\frontend\src\utils\generateProductVariationCombinations.ts", "TypeScript", 38, 0, 0, 0, 0, 0, 0, 0, 0, 4, 42
"f:\hobby-project\lara\Motomedic-Backend\frontend\src\utils\selectFieldsData.ts", "TypeScript", 49, 0, 0, 0, 0, 0, 0, 0, 0, 5, 54
"f:\hobby-project\lara\Motomedic-Backend\frontend\src\vite-env.d.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2
"f:\hobby-project\lara\Motomedic-Backend\frontend\tsconfig.json", "JSON with Comments", 0, 0, 20, 0, 0, 0, 0, 0, 9, 2, 31
"f:\hobby-project\lara\Motomedic-Backend\frontend\tsconfig.node.json", "JSON", 0, 10, 0, 0, 0, 0, 0, 0, 0, 1, 11
"f:\hobby-project\lara\Motomedic-Backend\frontend\vite.config.ts", "TypeScript", 26, 0, 0, 0, 0, 0, 0, 0, 1, 3, 30
"Total", "-", 2369, 86, 20, 10, 13767, 2, 19, 23, 1075, 1044, 18415
